season,game_id,team_id,team_name,date,ft_pct_mean,fg_made_sum,fg_made_mean,fg_attempted_sum,fg_attempted_mean,three_made_sum,three_made_mean,three_attempted_sum,three_attempted_mean,ft_made_sum,ft_made_mean,ft_attempted_sum,ft_attempted_mean,minutes_sum,minutes_mean,minutes_max,points_sum,points_mean,points_std,points_max,assists_sum,assists_mean,assists_std,assists_max,total_rebounds_sum,total_rebounds_mean,total_rebounds_std,total_rebounds_max,offensive_reb_sum,offensive_reb_mean,defensive_reb_sum,defensive_reb_mean,steals_sum,steals_mean,blocks_sum,blocks_mean,turnovers_sum,turnovers_mean,personal_fouls_sum,personal_fouls_mean,plus_minus_sum,plus_minus_mean,fg_pct_mean,three_pct_mean,assist_to_turnover_ratio,three_point_rate,offensive_reb_rate,true_shooting_pct,team_won
2021,9163,26,Orlando Magic,2021-12-09T03:00:00.000Z,44.17,48.0,4.8,97.0,9.7,16.0,1.6,34.0,3.4,18.0,1.8,23.0,2.3,240.0,24.0,36.266666666666666,130.0,13.0,10.456258094238748,33.0,29.0,2.9,2.5582111805799856,8.0,43.0,4.3,3.0203016773531455,10.0,17.0,1.7,26.0,2.6,2.0,0.2,5.0,0.5,12.0,1.2,18.0,1.8,-60.0,-6.0,39.68,33.75,2.4166666666666665,0.3333333333333333,0.3953488372093023,0.6067961165048543,0
2021,9163,30,Sacramento Kings,2021-12-09T03:00:00.000Z,60.92,53.0,5.3,97.0,9.7,15.0,1.5,34.0,3.4,21.0,2.1,25.0,2.5,239.98333333333335,23.998333333333335,38.166666666666664,142.0,14.2,8.495750571772795,33.0,24.0,2.4,3.339993346633426,11.0,43.0,4.3,2.4517567397911058,10.0,12.0,1.2,31.0,3.1,8.0,0.8,7.0,0.7,8.0,0.8,22.0,2.2,60.0,6.0,59.0,36.660000000000004,3.0,0.2830188679245283,0.27906976744186046,0.6574074074074074,1
2021,9164,2,Boston Celtics,2021-12-09T03:30:00.000Z,59.0,41.0,4.1,86.0,8.6,10.0,1.0,32.0,3.2,19.0,1.9,21.0,2.1,239.98333333333335,23.998333333333335,38.0,111.0,11.1,8.900062421753631,29.0,26.0,2.6,3.134042472944842,8.0,47.0,4.7,3.093002855909879,10.0,14.0,1.4,33.0,3.3,11.0,1.1,3.0,0.3,22.0,2.2,21.0,2.1,-15.0,-1.5,54.27,18.689999999999998,1.1818181818181819,0.24390243902439024,0.2978723404255319,0.5827383452330954,0
2021,9164,16,LA Clippers,2021-12-09T03:30:00.000Z,64.17,40.0,4.0,85.0,8.5,14.0,1.4,32.0,3.2,20.0,2.0,22.0,2.2,239.95,23.994999999999997,37.45,114.0,11.4,8.566082989195108,27.0,20.0,2.0,2.1602468994692865,7.0,38.0,3.8,3.457680661303984,10.0,9.0,0.9,29.0,2.9,13.0,1.3,7.0,0.7,20.0,2.0,18.0,1.8,15.0,1.5,43.67,22.080000000000002,1.0,0.35,0.23684210526315788,0.6020278833967047,1
2021,9165,27,Philadelphia 76ers,2021-12-10T00:00:00.000Z,45.833333333333336,38.0,3.1666666666666665,88.0,7.333333333333333,6.0,0.5,33.0,2.75,14.0,1.1666666666666667,15.0,1.25,239.96666666666664,19.99722222222222,34.96666666666667,96.0,8.0,6.993503478878874,19.0,17.0,1.4166666666666667,1.0836246694508318,4.0,34.0,2.8333333333333335,2.6911752530120077,9.0,6.0,0.5,28.0,2.3333333333333335,9.0,0.75,4.0,0.3333333333333333,9.0,0.75,20.0,1.6666666666666667,-110.0,-9.166666666666666,37.25833333333333,12.775,1.8888888888888888,0.15789473684210525,0.17647058823529413,0.5073995771670191,0
2021,9165,40,Utah Jazz,2021-12-10T00:00:00.000Z,29.092307692307692,43.0,3.3076923076923075,91.0,7.0,15.0,1.1538461538461537,40.0,3.076923076923077,17.0,1.3076923076923077,24.0,1.8461538461538463,239.98333333333335,18.460256410256413,29.35,118.0,9.076923076923077,7.005492350786136,22.0,22.0,1.6923076923076923,2.3939025107069902,7.0,52.0,4.0,5.859465277082315,21.0,16.0,1.2307692307692308,36.0,2.769230769230769,7.0,0.5384615384615384,5.0,0.38461538461538464,11.0,0.8461538461538461,14.0,1.0769230769230769,110.0,8.461538461538462,43.16923076923077,19.707692307692305,2.0,0.3488372093023256,0.3076923076923077,0.5809373769200472,1
2021,9166,17,Los Angeles Lakers,2021-12-10T01:00:00.000Z,27.77777777777778,36.0,4.0,78.0,8.666666666666666,12.0,1.3333333333333333,30.0,3.3333333333333335,11.0,1.2222222222222223,17.0,1.8888888888888888,240.0,26.666666666666668,38.13333333333333,95.0,10.555555555555555,6.207074816512024,22.0,26.0,2.888888888888889,3.9510898637098997,11.0,45.0,5.0,3.427827300200522,10.0,7.0,0.7777777777777778,38.0,4.222222222222222,8.0,0.8888888888888888,6.0,0.6666666666666666,22.0,2.4444444444444446,15.0,1.6666666666666667,-65.0,-7.222222222222222,47.62222222222223,46.855555555555554,1.1818181818181819,0.3333333333333333,0.15555555555555556,0.5556855404773046,0
2021,9166,19,Memphis Grizzlies,2021-12-10T01:00:00.000Z,29.160000000000004,41.0,4.1,94.0,9.4,14.0,1.4,42.0,4.2,12.0,1.2,18.0,1.8,239.98333333333335,23.998333333333335,35.3,108.0,10.8,7.480344614759105,25.0,28.0,2.8,2.043961295567452,6.0,47.0,4.7,3.1287200080686173,13.0,14.0,1.4,33.0,3.3,18.0,1.8,5.0,0.5,11.0,1.1,14.0,1.4,65.0,6.5,42.989999999999995,25.71,2.5454545454545454,0.34146341463414637,0.2978723404255319,0.5298273155416012,1
2021,9167,9,Denver Nuggets,2021-12-10T01:30:00.000Z,23.958333333333332,42.0,3.5,94.0,7.833333333333333,15.0,1.25,39.0,3.25,12.0,1.0,13.0,1.0833333333333333,239.95,19.995833333333334,35.4,111.0,9.25,8.955699048904306,25.0,29.0,2.4166666666666665,2.937479851639476,10.0,33.0,2.75,3.6958207355188253,13.0,5.0,0.4166666666666667,28.0,2.3333333333333335,7.0,0.5833333333333334,5.0,0.4166666666666667,8.0,0.6666666666666666,21.0,1.75,-60.0,-5.0,33.141666666666666,21.041666666666668,3.625,0.35714285714285715,0.15151515151515152,0.5565583634175691,0
2021,9167,31,San Antonio Spurs,2021-12-10T01:30:00.000Z,40.275,46.0,3.8333333333333335,88.0,7.333333333333333,15.0,1.25,35.0,2.9166666666666665,16.0,1.3333333333333333,22.0,1.8333333333333333,239.93333333333334,19.994444444444444,35.15,123.0,10.25,8.603646161525198,23.0,32.0,2.6666666666666665,3.0251471289038405,9.0,54.0,4.5,3.1766191290283903,9.0,14.0,1.1666666666666667,40.0,3.3333333333333335,5.0,0.4166666666666667,7.0,0.5833333333333334,13.0,1.0833333333333333,21.0,1.75,60.0,5.0,38.06666666666667,36.975,2.4615384615384617,0.32608695652173914,0.25925925925925924,0.6296068796068796,1
2021,9168,5,Charlotte Hornets,2021-12-11T00:00:00.000Z,46.855555555555554,48.0,5.333333333333333,87.0,9.666666666666666,14.0,1.5555555555555556,35.0,3.888888888888889,14.0,1.5555555555555556,20.0,2.2222222222222223,239.98333333333335,26.664814814814818,42.95,124.0,13.777777777777779,9.417772796391112,24.0,29.0,3.2222222222222223,3.153481321404084,8.0,39.0,4.333333333333333,2.6457513110645907,8.0,11.0,1.2222222222222223,28.0,3.111111111111111,9.0,1.0,8.0,0.8888888888888888,15.0,1.6666666666666667,20.0,2.2222222222222223,5.0,0.5555555555555556,47.64444444444444,22.955555555555556,1.9333333333333333,0.2916666666666667,0.28205128205128205,0.6471816283924844,1
2021,9168,30,Sacramento Kings,2021-12-11T00:00:00.000Z,34.67,48.0,4.8,101.0,10.1,14.0,1.4,41.0,4.1,13.0,1.3,17.0,1.7,239.96666666666667,23.996666666666666,35.75,123.0,12.3,8.819800955174038,31.0,22.0,2.2,2.3944379994757297,7.0,48.0,4.8,3.2249030993194197,10.0,20.0,2.0,28.0,2.8,11.0,1.1,4.0,0.4,14.0,1.4,20.0,2.0,-5.0,-0.5,44.45,25.419999999999998,1.5714285714285714,0.2916666666666667,0.4166666666666667,0.566924778761062,0
2021,9169,8,Dallas Mavericks,2021-12-11T00:00:00.000Z,45.45454545454545,39.0,3.5454545454545454,84.0,7.636363636363637,4.0,0.36363636363636365,29.0,2.6363636363636362,11.0,1.0,12.0,1.0909090909090908,239.96666666666667,21.815151515151516,37.583333333333336,93.0,8.454545454545455,9.490665270292029,27.0,18.0,1.6363636363636365,2.5796405669289384,9.0,38.0,3.4545454545454546,2.9449494516421284,9.0,12.0,1.0909090909090908,26.0,2.3636363636363638,6.0,0.5454545454545454,2.0,0.18181818181818182,12.0,1.0909090909090908,18.0,1.6363636363636365,-65.0,-5.909090909090909,39.56363636363636,5.172727272727273,1.5,0.10256410256410256,0.3157894736842105,0.5208333333333334,0
2021,9169,15,Indiana Pacers,2021-12-11T00:00:00.000Z,28.330000000000002,41.0,4.1,87.0,8.7,13.0,1.3,36.0,3.6,11.0,1.1,12.0,1.2,240.0,24.0,37.233333333333334,106.0,10.6,9.276014469827246,26.0,28.0,2.8,2.859681411936962,8.0,43.0,4.3,3.3681514877517675,10.0,12.0,1.2,31.0,3.1,7.0,0.7,3.0,0.3,10.0,1.0,19.0,1.9,65.0,6.5,42.480000000000004,37.22,2.8,0.3170731707317073,0.27906976744186046,0.5743389683571738,1
2021,9170,1,Atlanta Hawks,2021-12-11T00:30:00.000Z,28.88888888888889,37.0,4.111111111111111,94.0,10.444444444444445,11.0,1.2222222222222223,34.0,3.7777777777777777,20.0,2.2222222222222223,24.0,2.6666666666666665,239.96666666666667,26.662962962962965,37.61666666666667,105.0,11.666666666666666,10.571187255932989,31.0,21.0,2.3333333333333335,3.082207001484488,10.0,49.0,5.444444444444445,4.475240527365851,16.0,16.0,1.7777777777777777,33.0,3.6666666666666665,10.0,1.1111111111111112,3.0,0.3333333333333333,14.0,1.5555555555555556,19.0,2.111111111111111,-40.0,-4.444444444444445,33.05555555555556,21.266666666666666,1.5,0.2972972972972973,0.32653061224489793,0.5021040550879877,0
